Tipo de Contrato,Estamento,Apellido Paterno,Apellido Materno,Nombres,Grado,Calificación Profesional o Formación,Cargo o Función,Región,A Asignaciones Especiales $ (Cifra incluida en B),Unidad Monetaria,B Remuneración Bruta Mensualizada $ (Contempla cifras de A+C+D),C Horas Extras Diurnas $ (Cifra incluida en B),D Horas Extras Nocturnas $ (Cifra incluida en B),Fecha Inicio,Fecha Termino,Observaciones
CONTRATA,Académico,***,***,***,06,Doctor,Prof. Asociado,RM,1254986,Pesos,3087969,0,0,01-07-2023,31-12-2024,1212
CONTRATA,Académico,***,***,***,09,Especialidad Médica u Odontológica,Prof. Adjunto,RM,12026,Pesos,380380,0,0,01-11-2023,31-12-2024,1213
CONTRATA,Académico,***,***,***,09,Especialista,Prof. Adjunto,RM,108180,Pesos,476534,0,0,01-11-2015,31-12-2024,1213
CONTRATA,Académico,***,***,***,09,Magíster,Prof. Asistente,RM,146132,Pesos,547172,0,0,01-05-2015,31-12-2024,1209
CONTRATA,Técnico,***,***,***,25,Sin Información,AYUDANTE DE ENFERMERIA GENERAL,RM,224601,Pesos,860196,0,108200,01-09-2022,31-12-2024,1501
CONTRATA,Profesional,***,***,***,17,Enfermera,Enfermera,RM,850758,Pesos,2198307,0,220400,01-01-2020,31-12-2024,1501
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE DE ENFERMERIA ESPECIALIZADO,RM,175301,Pesos,1097528,0,103120,01-08-2020,31-12-2024,1501
CONTRATA,Académico,***,***,***,05,Doctor,Profesional Ley Médica,RM,2367008,Pesos,4444172,0,0,01-09-2019,31-12-2024,1501
CONTRATA,Profesional,***,***,***,17,Enfermera,Enfermera,RM,949417,Pesos,2580447,0,176320,01-11-2013,31-12-2024,1501
CONTRATA,Profesional,***,***,***,12,Magíster,PROFESIONAL,RM,608511,Pesos,1817633,0,0,01-10-2012,31-12-2024,1202
CONTRATA,Administrativo,***,***,***,13,Sin Información,ADMINISTRATIVO,RM,791530,Pesos,1638560,0,0,01-08-2023,31-12-2024,1701
CONTRATA,Administrativo,***,***,***,14,Sin Información,ADMINISTRATIVO,RM,315434,Pesos,1115640,0,0,01-11-2019,31-12-2024,1108
CONTRATA,Profesional,***,***,***,15,Psicologo,PROFESIONAL,RM,787017,Pesos,1755600,0,0,01-08-2023,31-12-2024,1209
CONTRATA,Profesional,***,***,***,06,Ingeniero Civil Informatico,PROFESIONAL,RM,1715681,Pesos,3548664,0,0,17-08-2023,31-12-2024,1209
CONTRATA,Auxiliar,***,***,***,18,Sin Información,Auxiliar General,RM,476391,Pesos,1114300,0,0,01-06-2019,31-12-2024,1108
CONTRATA,Técnico,***,***,***,18,Técnico Superior De Laboratorio Clínico y Banco de Sangre,Técnico de Laboratorio,RM,181371,Pesos,819280,0,0,01-11-2023,31-12-2024,1213
CONTRATA,Profesional,***,***,***,15,Ingeniero de Ejecución en Prevención de Riesgos Profesionales,PROFESIONAL,RM,914370,Pesos,1397688,0,0,01-06-2022,31-12-2024,1301
CONTRATA,Técnico,***,***,***,19,Disenador Grafico,TÉCNICO,RM,210854,Pesos,813754,0,0,01-12-2022,31-12-2024,1205
CONTRATA,Profesional,***,***,***,13,Licenciado,Jefe de Informática,RM,1812197,Pesos,2907190,0,0,01-06-2022,31-12-2024,1209
CONTRATA,Profesional,***,***,***,19,Ingeniero en Quimica,PROFESIONAL,RM,663610,Pesos,1332214,0,0,01-06-2022,31-12-2024,1301
CONTRATA,Técnico,***,***,***,19,Sin Información,TÉCNICO,RM,368766,Pesos,680000,0,0,01-07-2023,31-12-2024,1204
CONTRATA,Administrativo,***,***,***,19,Sin Información,Administrativo Área Radio,RM,681911,Pesos,1284811,0,0,01-01-2010,31-12-2024,1217
CONTRATA,Técnico,***,***,***,19,Sin Información,TÉCNICO,RM,578735,Pesos,1801359,0,0,01-06-2012,31-12-2024,1207
CONTRATA,Académico,***,***,***,09,Medico-Cirujano,Prof. Adjunto,RM,80778,Pesos,449132,0,0,01-03-2022,31-12-2024,1213
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE DE ENFERMERIA GENERAL,RM,76213,Pesos,1193105,19332,0,01-03-2020,31-12-2024,1501
CONTRATA,Profesional,***,***,***,15,Ingeniero Comercial,PROFESIONAL,RM,542579,Pesos,1511162,0,0,01-01-2024,31-12-2024,1205
CONTRATA,Profesional,***,***,***,17,Ingeniero en Infraestructura y Plataformas Tecnológicas,PROFESIONAL,RM,763911,Pesos,1698401,0,0,01-05-2022,31-12-2024,1501
CONTRATA,Profesional,***,***,***,12,Prof.Especialista En Educ.Diferenc.,PROFESIONAL,RM,298587,Pesos,1507709,0,0,01-01-2023,31-12-2024,1108
CONTRATA,Académico,***,***,***,09,Doctor,Prof. Asistente,RM,502837,Pesos,1230736,0,0,01-08-2022,31-12-2024,1209
CONTRATA,Profesional,***,***,***,09,Abogado,PROFESIONAL,RM,875859,Pesos,1594947,0,0,01-01-2021,31-12-2024,1211
CONTRATA,Académico,***,***,***,09,Abogado,Prof. Asistente,RM,827239,Pesos,1522452,0,0,01-04-2023,31-12-2024,1211
CONTRATA,Académico,***,***,***,03,Sin Información,Prof. Asistente,RM,257786,Pesos,518725,0,0,01-08-2001,31-12-2024,1213
CONTRATA,Académico,***,***,***,04,Especialidad Médica u Odontológica,Prof. Asociado,RM,330667,Pesos,581601,0,0,01-06-2005,31-12-2024,1501
CONTRATA,Académico,***,***,***,09,Doctor,Prof. Asistente,RM,2055889,Pesos,4068465,0,0,01-02-2021,31-12-2024,1206
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE DE ENFERMERIA ESPECIALIZADO,RM,76213,Pesos,1385905,0,128900,01-07-2019,31-12-2024,1501
CONTRATA,Académico,***,***,***,05,Medico-Cirujano,Profesional Ley Médica,RM,178025,Pesos,420202,0,0,01-08-2023,31-12-2024,1501
CONTRATA,Académico,***,***,***,05,Medico-Cirujano,Inst. Adjunto,RM,489173,Pesos,917595,0,0,01-11-2021,31-12-2024,1501
CONTRATA,Académico,***,***,***,05,Medico-Cirujano,Profesional Ley Médica,RM,1824522,Pesos,3229447,0,0,01-10-2021,31-12-2024,1501
CONTRATA,Académico,***,***,***,09,Medico-Cirujano,Prof. Asistente,RM,108179,Pesos,476533,0,0,01-08-2017,31-12-2024,1213
CONTRATA,Profesional,***,***,***,08,Bibliotecaria,BIBLIOTECARIA,RM,2244398,Pesos,3796343,0,0,23-11-2021,31-12-2024,1211
CONTRATA,Técnico,***,***,***,24,Sin Información,TÉCNICO,RM,397004,Pesos,1584666,0,0,09-08-2023,31-03-2024,1206
CONTRATA,Auxiliar,***,***,***,15,Sin Información,Auxiliar de Servicios,RM,38427,Pesos,860317,0,0,01-09-2015,31-12-2024,1402
CONTRATA,Profesional,***,***,***,17,Ingeniero en Minas,PROFESIONAL,RM,0,Pesos,1087215,0,0,01-10-2023,31-03-2024,1206
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE DE ENFERMERIA,RM,133474,Pesos,1051210,0,128900,01-10-2019,31-12-2024,1501
CONTRATA,Auxiliar,***,***,***,22,Sin Información,AUXILIAR DE SERVICIOS,RM,128300,Pesos,664806,0,0,01-04-2019,31-12-2024,1108
CONTRATA,Profesional,***,***,***,17,Profesor De Educacion Fisica,PROFESIONAL,RM,664305,Pesos,1521520,0,0,01-07-2023,31-12-2024,1213
CONTRATA,Académico,***,***,***,09,Ingeniero Comercial,Prof. Asistente,RM,477742,Pesos,869971,0,0,01-03-2015,31-12-2024,1211
CONTRATA,Profesional,***,***,***,17,Administrador Publico,PROFESIONAL,RM,824047,Pesos,1976262,0,0,01-04-2018,31-12-2024,1301
CONTRATA,Académico,***,***,***,07,Doctor,Prof.Titular,RM,149991,Pesos,558209,0,0,01-04-2008,31-12-2024,1213
CONTRATA,Académico,***,***,***,09,Kinesiologo,Prof. Adjunto,RM,20837,Pesos,380380,0,0,01-07-2022,31-12-2024,1213
CONTRATA,Profesional,***,***,***,17,Kinesiologo,PROFESIONAL,RM,138000,Pesos,356223,0,0,01-10-2019,31-12-2024,1213
CONTRATA,Académico,***,***,***,09,Doctor,Prof. Asistente,RM,476963,Pesos,2118707,0,0,01-11-2013,31-12-2024,1213
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE TECNICO DE FARMACIA,RM,113379,Pesos,782405,0,32225,01-05-2022,31-12-2024,1501
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE DE ENFERMERIA GENERAL,RM,0,Pesos,50133,0,0,01-01-2024,31-03-2024,1501
CONTRATA,Académico,***,***,***,05,Especialidad Médica u Odontológica,Prof. Asistente,RM,483602,Pesos,985982,0,0,01-08-2015,31-12-2024,1213
